"tier","VMCategory","VMSize","CPUCore","Memory","MaxDataDiskSize","MaxOSDiskSize","MaxTempDiskSize","LocalDisk","MaxIOPS","CacheSize","bandwidth","SizePortal","SizeAPI"
"Basic","A","A0","1","0.768","1"," 1023 GBTemporary "," 20","HDD","1x300","-","-","A0","Basic_A0"
"Basic","A","A1","1","1.75","2"," 1023 GBTemporary "," 40","HDD","2x300","-","-","A1","Basic_A1"
"Basic","A","A2","2","3.5","4"," 1023 GBTemporary "," 60","HDD","4x300","-","-","A2","Basic_A2"
"Basic","A","A3","4","7","8"," 1023 GBTemporary "," 120","HDD","8x300","-","-","A3","Basic_A3"
"Basic","A","A4","8","14","16"," 1023 GBTemporary "," 240","HDD","16x300","-","-","A4","Basic_A4"
"Standard","A","A0","1","0.768","1","1023","20","HDD","1x500","-","-","A0"," extra small"
"Standard","A","A1","1","1.75","2","1023","70","HDD","2x500","-","-","A1","small"
"Standard","A","A2","2","3.5","4","1023","135","HDD","4x500","-","-","A2","medium"
"Standard","A","A3","4","7","8","1023","285","HDD","8x500","-","-","A3","large"
"Standard","A","A4","8","14","16","1023","605","HDD","16x500","-","-","A4","extra large"
"Standard","A","A5","2","14","4","1023","135","HDD","4X500","-","-","A5","A5"
"Standard","A","A6","4","28","8","1023","285","HDD","8x500","-","-","A6","A6"
"Standard","A","A7","8","56","16","1023","605","HDD","16x500","-","-","A7","A7"
"Standard","A","A8","8","56","16","1023","382","HDD","16x500","-","-","A8","A8"
"Standard","A","A9","16","112","16","1023","382","HDD","16x500","-","-","A9","A9"
"Standard","A","A10","8","56","16","1023","382","HDD","16x500","-","-","A10","A10"
"Standard","A","A11","16","112","16","1023","382","HDD","16x500","-","-","A11","A11"
"Standard","D","D1","1","3.5","2","1023","50","SSD","2x500","-","-","Standard_D1","Standard_D1"
"Standard","D","D2","2","7","4","1023","100","SSD","4x500","-","-","Standard_D2","Standard_D2"
"Standard","D","D3","4","14","8","1023","200","SSD","8x500","-","-","Standard_D3","Standard_D3"
"Standard","D","D4","8","28","16","1023","400","SSD","16x500","-","-","Standard_D4","Standard_D4"
"Standard","D","D11","2","14","4","1023","100","SSD","4x500","-","-","Standard_D11","Standard_D11"
"Standard","D","D12","4","28","8","1023","200","SSD","8x500","-","-","Standard_D12","Standard_D12"
"Standard","D","D13","8","56","16","1023","400","SSD","16x500","-","-","Standard_D13","Standard_D13"
"Standard","D","D14","16","112","32","1023","800","SSD","32x500","-","-","Standard_D14","Standard_D14"
"Standard","DS","DS1","1","3.5","2","1023","7","SSD","3200","43","32","Standard_DS1","Standard_DS1"
"Standard","DS","DS2","2","7","4","1023","14","SSD","6400","86","64","Standard_DS2","Standard_DS2"
"Standard","DS","DS3","4","14","8","1023","28","SSD","12800","172","128","Standard_DS3","Standard_DS3"
"Standard","DS","DS4","8","28","16","1023","56","SSD","25600","344","256","Standard_DS4","Standard_DS4"
"Standard","DS","DS11","2","14","4","1023","28","SSD","6400","72","64","Standard_DS11","Standard_DS11"
"Standard","DS","DS12","4","28","8","1023","56","SSD","12800","144","128","Standard_DS12","Standard_DS12"
"Standard","DS","DS13","8","56","16","1023","112","SSD","25600","288","256","Standard_DS13","Standard_DS13"
"Standard","DS","DS14","16","112","32","1023","224","SSD","50000","576","512","Standard_DS14","Standard_DS14"
"Standard","G","G1","2","28","4"," 1023 "," 384","SSD","4 x 500","-","-","Standard_G1","Standard_G1"
"Standard","G","G2","4","56","8"," 1023 "," 768","SSD","8 x 500","-","-","Standard_G2","Standard_G2"
"Standard","G","G3","8","112","16"," 1023 "," 1536","SSD","16 x 500","-","-","Standard_G3","Standard_G3"
"Standard","G","G4","16","224","32"," 1023 "," 3072","SSD","32 x 500","-","-","Standard_G4","Standard_G4"
"Standard","G","G5","32","448","64"," 1023 "," 6144","SSD","64 x 500","-","-","Standard_G5","Standard_G5"
"Standard","GS","GS1","2","28","4","1023","56","SSD","5000","264",NA,"Standard_GS1","Standard_GS1"
"Standard","GS","GS2","4","56","8","1023","112","SSD","10000","528",NA,"Standard_GS2","Standard_GS2"
"Standard","GS","GS3","8","112","16","1023","224","SSD","20000","1056",NA,"Standard_GS3","Standard_GS3"
"Standard","GS","GS4","16","224","32","1023","448","SSD","40000","2112",NA,"Standard_GS4","Standard_GS4"
"Standard","GS","GS5","32","448","64","1023","896","SSD","80000","4224",NA,"Standard_GS5","Standard_GS5"
